request_id,date_received,source_account,request_type,summary,raw_notes,rough_effort_hint
TRQ-1053,"Jun 25, 2026",Oakmere Culinary Supply,standing order / lead-time bug,Oakmere's standing order for weekly dry goods didn't fire this week; no error visible in their portal.,Turned out (per support notes) to be a scheduler task that silently failed with no alerting. Oakmere is small tier but this points to a monitoring gap that could affect other accounts silently.,"small, but investigate monitoring gap separately"
TRQ-1054,"Jun 30, 2026",Meridian Foods,ERP sync/rate-limit escalation,"Meridian's SAP integration is timing out intermittently, causing orders to be submitted twice about once a week.","Top-5 account; their IT lead wants a permanent fix, not a workaround. Has reportedly been open informally for weeks but only now formally logged.",1-2 sprints
TRQ-1055,"Jul 2, 2026",Northwind Distributors,feature request,Northwind wants a way to bulk-edit standing order quantities across multiple locations at once instead of editing each location individually.,Framed as a nice-to-have; their ops manager mentioned it almost in passing during a call about the ERP issue.,1-2 sprints
TRQ-1056,"Jul 7, 2026",Cobalt Hospitality,punchout integration issue,Cobalt's ProcureFlow connection is rejecting orders above a certain dollar threshold with a generic 'validation error.',Cobalt's AP team can't tell if it's a Cobalt-side approval rule or a Trellis-side field validation bug. Ambiguous ownership; needs joint troubleshooting.,"unclear, needs discovery"
TRQ-1057,"Jul 9, 2026",Internal,proactive initiative,"Proposal to pilot a standing-order health score (on-time %, failure rate, lead-time drift) surfaced to account managers to reduce standing-order churn.","Tied to standing-order retention metric, which has quietly declined ~4pts over two quarters per internal reporting. No external account has asked for this directly.","large, multi-quarter"
TRQ-1058,"Jul 10, 2026",Palisade Resorts Group,inventory sync issue,"Palisade's resort-property buyers report seeing 'in stock' items that are actually backordered, leading to last-minute substitutions for banquet events.",High reputational risk given Palisade's event-driven ordering pattern; exec sponsor on their side has raised this twice now.,1-2 sprints
TRQ-1059,"Jul 14, 2026",Oakmere Culinary Supply,catalog/tag-mapping dispute,Oakmere's buyer says two supplier catalogs show conflicting units of measure (case vs. each) for the same item code.,"Small account, low order volume, likely an isolated data-entry issue on the supplier side rather than a platform bug â€” but hard to tell without digging in.",small
TRQ-1060,"Jul 16, 2026",Meridian Foods,standing order / lead-time bug,"Meridian's multi-supplier standing orders are being scheduled using the shortest lead time across suppliers instead of the longest, causing early-arrival conflicts at their receiving dock.",This looks like the inverse of the Palisade lead-time bug (TRQ-1046) â€” worth checking if it's the same underlying logic bug manifesting differently.,1-2 sprints
TRQ-1061,"Jul 20, 2026",Northwind Distributors,punchout integration issue,"Northwind's CatalogBridge connection intermittently drops line-item pricing, showing $0.00 for random SKUs at checkout.","Reported as urgent by their buyer-facing team since it looks like a pricing error to end customers, but actual transactions affected are a handful per week per our logs.",small
TRQ-1062,"Jul 23, 2026",Cobalt Hospitality,ERP sync/rate-limit escalation,"Cobalt's new ERP vendor (post-migration) isn't recognized by our integration's rate-limit allowlist, causing legitimate order batches to get throttled.","Configuration gap, not a bug â€” just needs their new ERP's IP range added to the allowlist, but nobody has picked it up in three weeks.",small
TRQ-1063,"Jul 28, 2026",Internal,proactive initiative,Proposal to build a lightweight self-serve catalog tag-mapping tool so supplier admins can resolve mismatches without filing a ticket.,Directly targets the recurring catalog/tag-mapping dispute pattern seen across nearly every account this quarter; framed as a structural fix rather than one-off firefighting.,"large, multi-quarter"
TRQ-1064,"Aug 1, 2026",Palisade Resorts Group,feature request,Palisade wants a 'hold for approval' state for standing orders above a dollar threshold so their finance team can review before submission.,"Reasonable ask, moderate complexity; Palisade's finance contact says it's 'not blocking anything yet' but would prevent future disputes.",1-2 sprints
TRQ-1065,"Aug 4, 2026",Oakmere Culinary Supply,punchout integration issue,"Oakmere's buyers report the ProcureFlow punchout return URL sometimes redirects to a blank page after checkout, losing the cart confirmation.","Small account, sporadic reports, hard to reproduce; might be a session-timeout edge case.","unclear, needs discovery"
TRQ-1066,"Aug 6, 2026",Meridian Foods,catalog/tag-mapping dispute,Meridian's category managers are asking for a bulk re-tag tool after finding roughly 200 SKUs mis-mapped following a supplier catalog migration.,"Top-5 account; a one-time data cleanup need tied to a migration event, not necessarily an ongoing platform issue.","1-2 sprints, mostly data work"
TRQ-1067,"Aug 10, 2026",Internal,proactive initiative,Proposal to run a quarterly 'reactive vs. proactive' backlog audit process so roadmap capacity allocation is reviewed systematically instead of ad hoc.,"Meta-proposal inspired by the volume of firefighting tickets this year; no external pressure, purely process-driven.","small, process change"
TRQ-1068,"Aug 13, 2026",Northwind Distributors,standing order / lead-time bug,"Northwind's standing orders occasionally skip a scheduled week entirely with no failure notification, then double up the following week.",Similar signature to Oakmere's silent scheduler failure (TRQ-1053) â€” possibly the same root cause at different scale. Northwind is mid-market with growing order volume.,"unclear, needs discovery"
